year,month,rank,title,views
2025,6,724,Radosław Markowski,12800
2025,6,733,Przemysław Rosati,12683
2025,6,752,Adrian Klarenbach,12430
2025,6,764,Wirówka wzbogacająca,12347
2025,6,779,Radzimir Dębski,12194
2025,6,789,Aleksandra Kwaśniewska,12076
2025,6,804,Felicjan Andrzejczak,11964
2025,6,817,Sejm Rzeczypospolitej Polskiej X kadencji,11837
2025,6,823,Estakada w Chorzowie,11789
2025,6,824,Aniela (serial telewizyjny),11780
2025,6,845,Robert Chojnacki,11559
2025,6,877,Ewa Woydyłło-Osiatyńska,11365
2025,6,934,Małgorzata Rozenek-Majdan,11043
2025,6,971,Władysław Teofil Bartoszewski,10823
2025,6,975,Jarosław Sokołowski (gangster),10815
2025,6,977,Joka,10803
2025,7,33,Bas Tajpan,68206
2025,7,41,Kabaret Potem,61442
2025,7,47,Jolanta Lange,59965
2025,7,76,Jakub Nowak (siatkarz),43354
2025,7,83,Maksymilian Sznepf,40397
2025,7,99,Adam Kornacki,36281
2025,7,128,Skolim,30700
2025,7,132,Maciej Świrski,30236
2025,7,133,Tomasz Majer,30130
2025,7,150,Patryk Mikiciuk,28336
2025,7,153,Spadkobiercy (program telewizyjny),27944
2025,7,176,Przemysław Dębiak,26368
2025,7,186,Agnieszka Glapiak,25591
2025,7,193,Łukasz Pietsch,25161
2025,7,206,Adam Pernal,24364
2025,7,299,Primo voto,20273
2025,7,300,Krzysztof Szubzda,20254
2025,7,306,Redan (przedsiębiorstwo),20000
2025,7,352,Mirosław Michalski,18846
2025,7,373,Leszek Jenek,18298
2025,7,400,Zaginięcie Iwony Wieczorek,17678
2025,7,417,Top Secret (przedsiębiorstwo),17361
2025,7,419,Dorota Wysocka-Schnepf,17314
2025,7,431,Radzimir Dębski,17130
2025,7,439,Maria Szczepaniec,17028
2025,7,451,Ryszard Olesiński (muzyk),16797
2025,7,472,Mirosław Gancarz,16347
2025,7,490,Andrzej Banasiak,16030
2025,7,538,Tomasz Tomaszewski (aktor),14996
2025,7,580,Robert Dobrzycki,14335
2025,7,626,Monika Braun,13705
2025,7,630,Mirosław Bryś,13650
2025,7,645,Marcin Majewski,13427
2025,7,648,Ewa Woydyłło-Osiatyńska,13397
2025,7,656,Modelki,13291
2025,7,687,Fagata,13044
2025,7,747,Rafał Zapała,12507
2025,7,755,Karolina Gilon,12466
2025,7,768,Jarosław Sokołowski (gangster),12345
2025,7,831,Katarzyna Sienkiewicz (wokalistka),11804
2025,7,883,Arkadiusz Muś,11374
2025,7,937,Agnieszka Fatyga,10992
2025,7,950,Tomasz Zimoch,10907
2025,7,954,Zbigniew Hołdys,10882
2025,7,972,Przemysław Rosati,10773
2025,7,976,Andrzej Kowalski (generał),10750
2025,7,983,Parafia Najświętszego Serca Pana Jezusa w Przypkach,10728
2025,8,34,Maciej Krakowian,56330
2025,8,45,Jakub Nowak (siatkarz),48809
2025,8,100,Maksymilian Sznepf,32539
2025,8,113,Skolim,30624
2025,8,133,Andrzej Banasiak,28672
2025,8,182,Oddział Zamknięty,25698
2025,8,193,Katastrofa lotnicza na Radom Air Show 2009,25256
2025,8,206,Jacek Bazan,24363
2025,8,222,Tomasz Jarosz,23609
2025,8,264,Ewa Weber,22078
2025,8,312,Justyna Dobrosz-Oracz,20511
2025,8,379,Krucjata (serial telewizyjny),18766
2025,8,426,Jarosław Wąsowicz,17667
2025,8,449,Elżbieta Śmiarowska,17159
2025,8,453,Grzegorz Dobiecki,17079
2025,8,468,Raport Macierewicza,16827
2025,8,476,Dominik Chmielewski,16727
2025,8,489,Zygmunt Babiak,16572
2025,8,507,Stanisław Karpiel-Bułecka,16300
2025,8,535,Ewa Woydyłło-Osiatyńska,15945
2025,8,550,Zalia,15762
2025,8,613,Dorota Wysocka-Schnepf,14957
2025,8,618,Jerzy Kalibabka,14901
2025,8,636,Dominika Gawęda,14726
2025,8,641,Rada Gabinetowa,14692
2025,8,656,Natalia Grosiak,14492
2025,8,662,Robert Stockinger,14419
2025,8,691,Łukasz Drapała,14132
2025,8,697,Mieczysław Banasik,14105
2025,8,709,Teresa Trzaskowska,13969
2025,8,716,Krajowy Plan Odbudowy,13872
2025,8,773,Joanna Lazer,13338
2025,8,863,Modelki,12616
2025,8,876,Robert Friedrich,12574
2025,8,886,Krzysztof Jaryczewski,12530
2025,8,889,Chada,12487
2025,8,920,Arleta Bojke,12263
2025,8,930,Wrocław: Libacja na skwerku,12227
2025,8,942,F-16 w Siłach Powietrznych,12133
2025,8,947,Zaginięcie Iwony Wieczorek,12102
2025,8,950,Wersow,12089
2025,8,971,Jarosław Sokołowski (gangster),11978
2025,9,1,Katarzyna Stoparczyk,653121
2025,9,6,Maksymilian Sznepf,155369
2025,9,24,Piotr Andrzejewski,87615
2025,9,36,Dorota Wysocka-Schnepf,71730
2025,9,55,Katarzyna Butowtt,57794
2025,9,65,Mariusz Haładyj,53905
2025,9,89,Skolim,43466
2025,9,103,Maciej Krakowian,41088
2025,9,140,Jolanta Pieńkowska,33650
2025,9,142,Bożena Batycka,33125
2025,9,171,Anna Głogowska,29709
2025,9,188,Kamil Studnicki,28544
2025,9,220,Iwona Pavlović,26713
2025,9,309,Rafał Maserak,22290
2025,9,327,Jolanta Lange,21451
2025,9,329,Maciej Klisz,21183
2025,9,333,The Floor,21078
2025,9,347,Piotr Mróz (aktor),20639
2025,9,385,Dorota Szelągowska,19455
2025,9,389,Hotel Paradise,19254
2025,9,393,Alicja Schnepf,19111
2025,9,462,Lista odcinków programu Twoja twarz brzmi znajomo,17577
2025,9,480,Jacek Bursztynowicz,17018
2025,9,568,Arleta Bojke,15615
2025,9,575,Jakub Wons,15521
2025,9,602,Dominik Chmielewski,15136
2025,9,615,Tomasz Butowtt,14983
2025,9,634,Idź na całość,14663
2025,9,688,Aleksandra Kwaśniewska,14176
2025,9,696,Mistrzostwa Świata w Piłce Siatkowej Mężczyzn 2025 (składy),13988
2025,9,716,Krzysztof Hulboj,13789
2025,9,722,Michał Balicki,13680
2025,9,735,Jacek Dubois,13599
2025,9,737,Przemysław Rosati,13586
2025,9,817,Rinke Rooyens,12739
2025,9,871,Paweł Galia,12366
2025,9,874,Dominika Gawęda,12339
2025,9,896,Ewa Woydyłło-Osiatyńska,12216
2025,9,911,Władysław Grochowski,12116
2025,9,916,Tomasz Wygoda,12092
2025,9,928,XIII Księga Pana Tadeusza,12013
2025,9,942,Kamila Kajak,11897
2025,9,943,Batycki,11896
2025,10,15,Yehuda Prokopowicz,85212
2025,10,30,Łukasz Mejza,68843
2025,10,51,Katarzyna Butowtt,52787
2025,10,56,Ludomir Handzel,51475
2025,10,66,Skolim,49139
2025,10,79,Wersow,41909
2025,10,82,Maciej Kurzajewski,41738
2025,10,89,Friz,39987
2025,10,138,Bartłomiej Kotschedoff,32443
2025,10,157,Eliza Kącka,30021
2025,10,167,Jacek Bursztynowicz,29435
2025,10,191,Tomasz Wygoda,27283
2025,10,209,Pola Gonciarz,26075
2025,10,215,Hotel Paradise,25454
2025,10,228,Glina (serial telewizyjny),24685
2025,10,234,Dorota Wysocka-Schnepf,24246
2025,10,246,Eryk Kulm (muzyk),23553
2025,10,288,Monika Braun,21993
2025,10,290,Tadeusz Sznuk,21962
2025,10,297,Łaska uświęcająca,21763
2025,10,302,Żurnalista,21615
2025,10,303,Kamil Studnicki,21605
2025,10,312,Spowiedź,21380
2025,10,326,Paulina Smaszcz,20871
2025,10,333,Cwel,20744
2025,10,354,Lista odcinków programu Twoja twarz brzmi znajomo,20079
2025,10,356,Natalia Muianga,20017
2025,10,365,Joanna Ławrynowicz-Just,19792
2025,10,405,Paulina Andrzejewska,18803
2025,10,410,Dzień Edukacji Narodowej,18721
2025,10,413,The Floor,18675
2025,10,432,Rafał Maserak,18319
2025,10,437,Krzysztof Hulboj,18176
2025,10,501,Marcin Hakiel,17206
2025,10,592,Małgorzata Rozenek-Majdan,15761
2025,10,597,Janusz Ekiert,15737
2025,10,608,Ewa Woydyłło-Osiatyńska,15667
2025,10,663,Iwona Pavlović,15090
2025,10,668,Maksymilian Sznepf,15037
2025,10,681,Aleksander Milwiw-Baron,14904
2025,10,715,Fagata,14438
2025,10,731,Drelich (serial telewizyjny),14297
2025,10,764,Zalia,13982
2025,10,798,Adrian Kosowski,13556
2025,10,830,Scheda (polski serial telewizyjny),13255
2025,10,855,Jakub Wiech,13133
2025,10,899,Szpital św. Anny,12787
2025,10,904,Michał Zembala,12720
2025,10,910,Andrzej Mrożewski,12664
2025,10,911,Anna Głogowska,12662
2025,10,914,Bracia Figo Fagot,12641
2025,10,940,Ekipa Friza,12464
2025,10,944,Natalia Niemen,12448
2025,10,960,Lista najstarszych ludzi w Polsce,12347
2025,10,963,Tomasz Butowtt,12334
2025,10,980,Browar Namysłów,12224
2025,11,2,Andrzej Ułasiewicz,544465
2025,11,16,Euroafrica Linie Żeglugowe,131390
2025,11,22,Mikołaj Bagiński (przedsiębiorca),102898
2025,11,33,Przemysław Babiarz,74279
2025,11,85,Jakub Wons,41308
2025,11,106,Natalia Muianga,38794
2025,11,160,Dorota Szelągowska,30252
2025,11,171,Krzysztof Hulboj,28933
2025,11,186,Skolim,28257
2025,11,206,Furta (statek wodny),27022
2025,11,222,Iwona Pavlović,25739
2025,11,239,Aleksandra Kwaśniewska,25180
2025,11,248,Bogdan Rymanowski,24774
2025,11,265,Tomasz Wygoda,23869
2025,11,361,Wojciech Czuchnowski,19906
2025,11,424,Czarna śmierć (serial telewizyjny),18531
2025,11,467,Cwel,17795
2025,11,485,Paulina Andrzejewska,17619
2025,11,492,Joka,17501
2025,11,510,Mini Majk,17173
2025,11,535,Tadeusz Sznuk,16686
2025,11,536,Małgorzata Rozenek-Majdan,16682
2025,11,548,Zalia,16395
2025,11,554,Szpital św. Anny,16314
2025,11,577,Rafał Maserak,15949
2025,11,599,The Floor,15624
2025,11,621,Przemysław Klima,15350
2025,11,641,Arleta Bojke,14994
2025,11,676,Glina (serial telewizyjny),14628
2025,11,731,Ryszard Bogucki,14048
2025,11,745,Jerzy Derfel,13944
2025,11,751,Agnieszka Burzyńska,13851
2025,11,791,Bartłomiej Kotschedoff,13533
2025,11,814,MS Busko Zdrój,13347
2025,11,843,Krystyna Mazurówna,13106
2025,11,847,Maciej Kurzajewski,13077
2025,11,876,Katarzyna Butowtt,12927
2025,11,884,Jacek Janczarski,12886
2025,11,889,Pola Gonciarz,12867
2025,11,903,Lejb Fogelman,12741
2025,11,916,Alicja Surowiec,12654
2025,11,926,Sprawiedliwi – Wydział Kryminalny,12604
2025,11,960,Roman Czejarek,12469
2025,11,972,Emil Czeczko,12378
2025,11,976,Marcin Matczak,12343
2026,1,5,Ryszard Bogucki,195930
2026,1,6,Bogdan Kacmajor,188580
2026,1,16,Skolim,94921
2026,1,21,Niebo. Rok w piekle,90290
2026,1,68,Elżbieta Dziech,43698
2026,1,104,U Pana Boga w Królowym Moście,34849
2026,1,128,Zaginięcie Iwony Wieczorek,31963
2026,1,151,Bogdan Trojanek,30185
2026,1,168,Andrzej Ułasiewicz,29209
2026,1,175,Plebiscyt Przeglądu Sportowego 2025,28556
2026,1,184,Adam Borowski,27981
2026,1,189,Zima stulecia,27646
2026,1,263,Andrzej Banasiak,23484
2026,1,267,Robert Dobrzycki,23081
2026,1,316,Aleksandra Grabowska (aktorka),21499
2026,1,332,Lech Wilczek,21020
2026,1,363,Ola Ciupa,20285
2026,1,364,Lista najstarszych ludzi w Polsce,20258
2026,1,399,Czarny Kot (samowola budowlana),19218
2026,1,432,Katarzyna Butowtt,18518
2026,1,439,Dorota Szelągowska,18342
2026,1,449,Michał Wójcik (komik),18052
2026,1,461,Akop Szostak,17768
2026,1,484,Radzimir Dębski,17324
2026,1,514,19. Południk,16764
2026,1,520,Kabaret Nowaki,16672
2026,1,522,Eugeniusz Olejarczyk,16625
2026,1,523,Krzysztof Dzierma,16623
2026,1,577,Magdalena Prokopowicz,15905
2026,1,578,Małgorzata Rozenek-Majdan,15904
2026,1,592,Cwel,15772
2026,1,628,Magdalena Narożna,15289
2026,1,638,Livka (piosenkarka),15154
2026,1,641,Anna Popek,15150
2026,1,647,Sprawa zabójstwa Krzysztofa Olewnika,15107
2026,1,650,Neo-Nówka,15062
2026,1,660,Adrianna Borek,14972
2026,1,715,Katarzyna Stoparczyk,14375
2026,1,735,Krzysztof Hulboj,14187
2026,1,798,Jarosław Sokołowski (gangster),13743
2026,1,807,Krystyna Mazurówna,13635
2026,1,845,Agnieszka Woźniak-Starak,13302
2026,1,852,Zalia,13239
2026,1,853,Mirosław Danielak,13226
2026,1,861,Joanna Przetakiewicz,13194
2026,1,882,Mariusz Jędrzejko,12984
2026,1,887,Roman Żurek,12926
2026,1,909,Plebiscyt Przeglądu Sportowego 2024,12761
2026,1,925,Disco Star,12656
2026,1,946,Michał Olszewski (duchowny),12550
2026,1,954,Arkadiusz Szkutnik,12493
2026,1,986,Grzegorz Jankowski (dziennikarz),12227
2026,1,991,Dominika Gawęda,12198
2026,2,7,Huta Metali Nieżelaznych Szopienice,351837
2026,2,12,Dominika Żukowska,190699
2026,2,31,Polscy medaliści zimowych igrzysk olimpijskich,103660
2026,2,56,Bogdan Kacmajor,62250
2026,2,75,Maria Wiernikowska,50674
2026,2,101,Zdzisław Grudzień,40617
2026,2,127,Skolim,34765
2026,2,137,Beata Paluch,33091
2026,2,228,Niebo. Rok w piekle,26116
2026,2,238,Paweł (Katowice),25503
2026,2,256,Maciej Bochniak,24433
2026,2,378,LKS Klimczok Bystra,19347
2026,2,383,Sebastian Pawlak,19180
2026,2,384,Andrzej Korycki (piosenkarz),19177
2026,2,392,Rodzeństwo Prevców,18971
2026,2,427,Robert Dobrzycki,17919
2026,2,463,Reprezentacja Polski w skokach narciarskich,17005
2026,2,469,The Traitors. Zdrajcy,16817
2026,2,518,Kali (raper),16177
2026,2,519,Joka,16175
2026,2,540,Piotr Wagner,15883
2026,2,574,Aleksander Milwiw-Baron,15266
2026,2,578,Radosław Piesiewicz,15228
2026,2,583,Ewa Żarska,15115
2026,2,596,Edmund Gryglewicz,14874
2026,2,609,Emerytura olimpijska,14755
2026,2,619,Zbigniew Hołdys,14584
2026,2,622,Zalia,14533
2026,2,673,Magdalena Sobkowiak-Czarnecka,13801
2026,2,674,Friz,13794
2026,2,683,Cwel,13602
2026,2,691,Zbigniew Sajnóg,13545
2026,2,699,Zuzanna Witych,13422
2026,2,705,Przemysław Babiarz,13348
2026,2,739,U Pana Boga w Królowym Moście,12935
2026,2,773,Ewa Żukowska,12557
2026,2,782,Dorota Szelągowska,12459
2026,2,805,Jacek Walkiewicz,12346
2026,2,865,Agnieszka Woźniak-Starak,11965
2026,2,872,Edyta Folwarska,11929
2026,2,917,Radosław Markowski,11585
2026,2,932,Andrzej Ułasiewicz,11459
2026,2,933,Wersow,11453
2026,2,973,Katarzyna Butowtt,11158
2026,2,976,Hugo Tarres,11150
2026,3,13,Piotr Kędzierski,108585
2026,3,15,Kamil Nożyński,104653
2026,3,32,Huta Metali Nieżelaznych Szopienice,70985
2026,3,85,Wojciech Szewko,41242
2026,3,127,Magdalena Sobkowiak-Czarnecka,32927
2026,3,130,Miuosh,32578
2026,3,134,The Traitors. Zdrajcy,31942
2026,3,178,Tomasz Wygoda,27599
2026,3,184,Królowa przetrwania,27005
2026,3,202,Akop Szostak,25437
2026,3,203,Skolim,25424
2026,3,247,Marzanna Graff,23486
2026,3,269,Maffashion,21839
2026,3,278,Robert Dobrzycki,21602
2026,3,283,Maciej Pesta,21404
2026,3,311,Mariusz Jędrzejko,20225
2026,3,357,Jacek Jeschke,18886
2026,3,367,Janusz Ratajczak (śpiewak),18617
2026,3,429,Adam Borowski,17131
2026,3,433,Wanda Buk,17100
2026,3,435,Hanna Żudziewicz,17086
2026,3,473,Koral (lody),16299
2026,3,484,Hotel Paradise,16139
2026,3,517,Joanna Przetakiewicz,15565
2026,3,524,Małgorzata Rozenek-Majdan,15426
2026,3,532,Władysław Teofil Bartoszewski,15210
2026,3,537,Lil Masti,15148
2026,3,543,Eugeniusz Chimczak,15050
2026,3,547,Jagoda Gancarek,15002
2026,3,559,Cwel,14777
2026,3,584,Fagata,14327
2026,3,599,Rinke Rooyens,14191
2026,3,658,Malwina Wędzikowska,13597
2026,3,680,Daniel Galus,13366
2026,3,722,Iwona Pavlović,12909
2026,3,724,The Floor,12905
2026,3,728,Dorota Szelągowska,12853
2026,3,738,Sprawa śmierci Ewy Tylman,12778
2026,3,786,Filip Gurłacz,12280
2026,3,796,Piotr Gursztyn,12220
2026,3,810,Bogdan Kacmajor,12087
2026,3,833,Robert Stockinger,11896
2026,3,844,Sprawa zabójstwa Krzysztofa Olewnika,11785
2026,3,855,Ryszard Bogucki,11691
2026,3,864,Jakub Wons,11615
2026,3,873,Rafał Maserak,11543
2026,3,874,Szpital św. Anny,11533
2026,3,880,Małgorzata Potocka (tancerka),11470
2026,3,889,Dawid Bratko,11436
2026,3,892,Marcin Hakiel,11414
2026,3,897,Agnieszka Grzelak (blogerka),11403
2026,3,898,Łukasz Mejza,11400
2026,3,922,Piekło kobiet (serial telewizyjny),11260
2026,3,941,Marta Kightley,11174
2026,3,952,Czar par,11074
2026,3,957,Gabi Drzewiecka,11063
2026,4,29,Marek Magiera,57933
2026,4,40,Sprawa Łomiarza,47674
2026,4,43,Łukasz Mejza,47155
2026,4,45,Edward Miszczak,46531
2026,4,53,Fundacja Cancer Fighters,41218
2026,4,62,Mariusz Jędrzejko,38490
2026,4,77,Miuosh,34207
2026,4,79,Peja vs Tede,33651
2026,4,86,Radosław Piesiewicz,32317
2026,4,99,Piotr Kędzierski,30326
2026,4,100,Eveline Cosmetics,30322
2026,4,102,Skolim,29729
2026,4,108,Martyna Załoga,29251
2026,4,136,The Traitors. Zdrajcy,27070
2026,4,142,Andrzej Kowalski (generał),26611
2026,4,143,Zalia,26517
2026,4,165,Beata Drzazga,24678
2026,4,192,Edward Warchocki,23393
2026,4,219,Magdalena Bentkowska,21781
2026,4,240,Katarzyna Kubacka-Seweryn,20844
2026,4,241,Królowa przetrwania,20801
2026,4,243,Natalisa,20766
2026,4,251,Huta Metali Nieżelaznych Szopienice,20398
2026,4,271,Wojciech Morawski (muzyk),19714
2026,4,287,Anna Korwin-Piotrowska,19024
2026,4,294,Żurnalista,18876
2026,4,321,Hotel Paradise,18234
2026,4,334,Maffashion,17964
2026,4,374,Marissa (piosenkarka),17083
2026,4,397,Ryszard Florek,16577
2026,4,434,Fagata,15902
2026,4,477,Ewa Żarska,14999
2026,4,485,Michał Marszał,14822
2026,4,531,Jacek Jeschke,14220
2026,4,534,Krystian Markiewicz,14177
2026,4,547,Malwina Wędzikowska,14019
2026,4,560,Poparzeni Kawą Trzy,13805
2026,4,571,Marcin Matczak,13631
2026,4,575,Total Casino,13551
2026,4,612,Juha Miettinen,13173
2026,4,637,Agnieszka Kołodziejska,12933
2026,4,641,Dawid Bratko,12909
2026,4,674,Joanna Przetakiewicz,12602
2026,4,678,Rinke Rooyens,12573
2026,4,686,Dariusz Szostek,12493
2026,4,696,Filip Gurłacz,12425
2026,4,721,Dorota Szelągowska,12197
2026,4,727,Kamil Nożyński,12132
2026,4,739,Maciej Taborowski,12042
2026,4,747,Zenon Rzeźniczak,11952
2026,4,806,Małgorzata Rozenek-Majdan,11475
2026,4,827,Mikołaj Bagiński (przedsiębiorca),11353
2026,4,852,Hanna Żudziewicz,11168
2026,4,858,Ryszard Bogucki,11125
2026,4,861,Miü,11107
2026,4,892,Bogusława Blajfer,10908
2026,4,893,Jakub Wons,10907
2026,4,932,Ciągle tutaj jestem (diss na raka),10741
2026,4,966,Agnieszka Grzelak (blogerka),10617
2026,4,974,Łukasz Zagrobelny,10538
2026,4,992,Szpital św. Anny,10418
2026,5,31,Skolim,53023
2026,5,33,Krzysztof Gojdź,51918
2026,5,71,Izabela Janachowska-Jabłońska,41865
2026,5,101,Stanisław Janicki (filmowiec),33911
2026,5,106,Zalia,32936
2026,5,108,Hanna Żudziewicz,31679
2026,5,111,Gamou Fall,31040
2026,5,115,Jacek Jeschke,30131
2026,5,116,Mariusz Jędrzejko,30106
2026,5,118,Królowa przetrwania,29923
2026,5,122,Magdalena Sobkowiak-Czarnecka,29232
2026,5,134,Piotr Kędzierski,28332
2026,5,179,Mariusz Węgłowski,24750
2026,5,185,Malwina Wędzikowska,24057
2026,5,192,The Traitors. Zdrajcy,23742
2026,5,233,Maciej Zaborowski,21458
2026,5,238,Marcin Kozakiewicz,21397
2026,5,254,Łukasz Mejza,20755
2026,5,264,Hotel Paradise,20242
2026,5,275,Rinke Rooyens,19848
2026,5,299,Fagata,18946
2026,5,300,Total Casino,18792
2026,5,339,Tamara Gonzalez Perea,17648
2026,5,346,Andrzej Mrowiec,17469
2026,5,352,Olga Łasak,17267
2026,5,376,Róże Europy,16659
2026,5,390,Maffashion,16185
2026,5,423,Edward Warchocki,15654
2026,5,428,Sprawa Łomiarza,15578
2026,5,459,Szpital św. Anny,15045
2026,5,468,Małgorzata Rozenek-Majdan,14948
2026,5,516,Agnieszka Fatyga,14224
2026,5,526,Agnieszka Kołodziejska,14070
2026,5,555,Katarzyna Kołodziejczyk (politolog),13666
2026,5,592,Dawid Bratko,13246
2026,5,607,Wiktor Waligóra,13119
2026,5,624,Odznaczeni Orderem Orła Białego (III Rzeczpospolita),12971
2026,5,628,Joanna Przetakiewicz,12958
2026,5,720,Referendum gminne w sprawie odwołania Prezydenta Miasta Krakowa oraz Rady Miejskiej Krakowa przed upływem kadencji w 2026 roku,12247
2026,5,743,Marcin Matczak,12047
2026,5,750,Katarzyna Sienkiewicz (wokalistka),12021
2026,5,751,Marian Zmarzły,12015
2026,5,772,Iwona Pavlović,11827
2026,5,837,Natalisa,11430
2026,5,850,Miuosh,11355
2026,5,873,Paweł Jaskanis,11228
2026,5,918,Radosław Piesiewicz,10919
2026,5,937,Ewa Błachnio,10754
2026,5,962,Filip Gurłacz,10626
2026,5,964,Edward Miszczak,10614
2026,5,989,Ryszard Piotrowski,10471
2026,6,19,Bogdan Olewicz,101953
2026,6,32,Skolim,76231
2026,6,34,Andrzej Szeptycki (politolog),66569
2026,6,45,Odznaczeni Orderem Orła Białego (III Rzeczpospolita),56701
2026,6,56,Odznaczeni Orderem Orła Białego (II Rzeczpospolita),49111
2026,6,66,Magdalena Sobkowiak-Czarnecka,45417
2026,6,79,Andrzej Mogielnicki,42293
2026,6,90,Alaksiej Nasiewicz,39139
2026,6,103,Tadeusz Gołębiewski (przedsiębiorca),35636
2026,6,123,Monika Horna-Cieślak,32550
2026,6,131,Jacek Dubois,31674
2026,6,162,Łukasz Mejza,29087
2026,6,165,Dawid Bratko,28498
2026,6,232,Andrzej Sasin,23340
2026,6,235,Zalia,23283
2026,6,250,Maciej Krakowian,22499
2026,6,282,Mikołaj Bagiński (przedsiębiorca),20530
2026,6,284,Total Casino,20378
2026,6,424,Maciej Dowbor,16566
2026,6,458,Dariusz Zawistowski,15713
2026,6,489,Zbigniew Parafianowicz,15255
2026,6,492,Kapituła Orderu Orła Białego,15117
2026,6,494,Łukasz Drapała,15062
2026,6,540,Patryk Słowik,14433
2026,6,543,Piotr Pytel,14365
2026,6,549,Krzysztof Gojdź,14298
2026,6,558,Aleksander Lwow,14112
2026,6,601,Maciej Balcar,13669
2026,6,603,Agnieszka Woźniak-Starak,13641
2026,6,609,Aleksandra Kwaśniewska,13565
2026,6,628,Maria Ejchart,13273
2026,6,655,Adam Borowski,13034
2026,6,661,Król dopalaczy,12968
2026,6,735,Warszawski Szpital Południowy,12090
2026,6,776,Zbigniew Hołdys,11677
2026,6,783,Poparzeni Kawą Trzy,11635
2026,6,805,Paulina Chylewska,11475
2026,6,807,Katarzyna Kołodziejczyk (politolog),11470
2026,6,830,Robert Friedrich,11264
2026,6,837,Odznaczeni Orderem Orła Białego (I Rzeczpospolita),11207
2026,6,838,Radzimir Dębski,11207
2026,6,880,Neo-Nówka,10882
2026,6,900,Małgorzata Rozenek-Majdan,10783
2026,6,905,Afera podkarpacka,10755
2026,6,914,Jakub Nowak (siatkarz),10687
2026,6,952,Roman Żurek,10439
2026,6,965,Arleta Bojke,10347
2026,6,976,Sebastian Riedel,10315
